gbm133a,ModuleColor,K.WholeNetwork,K.Intra,K.Out,Gene.Symbol,LocusLink,Set55Coxpvalue,HazardRatio55,HRlowerCI55,HRupperCI55,HRSD55,Set65Coxpvalue,Set65HazardRatio,Set65HRlower95,Set65HRupper95,Set65HRsd,Set55_ORI_10219_10218,Set55_ORI_10735_10730,Set55_ORI_14605_14585,Set55_ORI_14607_14586,Set55_ORI_14609_14587,Set55_ORI_14617_14591,Set55_ORI_14623_14594,Set55_ORI_14629_14597,Set55_ORI_14631_14598,Set55_ORI_14633_14599,Set55_ORI_14635_14600,Set55_ORI_14639_14602,Set55_ORI_15426_15407,Set55_ORI_15428_15408,Set55_ORI_15430_15409,Set55_ORI_15432_15410,Set55_ORI_15434_15411,Set55_ORI_15438_15414,Set55_ORI_15440_15415,Set55_ORI_15442_15417,Set55_ORI_15444_15418,Set55_ORI_15446_15419,Set55_ORI_15448_15420,Set55_ORI_15450_15421,Set55_ORI_15452_15422,Set55_ORI_15454_15424,Set55_ORI_15456_15425,Set55_ORI_15479_15471,Set55_ORI_15662_15649,Set55_ORI_4368_4367,Set55_ORI_4378_4377,Set55_ORI_4388_4387,Set55_ORI_4770_4761,Set55_ORI_4772_4762,Set55_ORI_4774_4763,Set55_ORI_4776_4764,Set55_ORI_4778_4765,Set55_ORI_4780_4766,Set55_ORI_4782_4767,Set55_ORI_4784_4768,Set55_ORI_4786_4769,Set55_ORI_6922_6907,Set55_ORI_6924_6908,Set55_ORI_6926_6909,Set55_ORI_6928_6910,Set55_ORI_6930_6911,Set55_ORI_6932_6912,Set55_ORI_6934_6913,Set55_ORI_6936_6914,Set55_ORI_6938_6915,Set55_ORI_6940_6916,Set55_ORI_6944_6918,Set55_ORI_6946_6919,Set55_ORI_6948_6920,Set55_ORI_6950_6921,Set65_21484_21474,Set65_21486_21475,Set65_21488_21476,Set65_21490_21477,Set65_21492_21478,Set65_21494_21479,Set65_21496_21480,Set65_22566_22553,Set65_22567_22554,Set65_22568_22555,Set65_22569_22556,Set65_24016_24007,Set65_24017_24008,Set65_24018_24009,Set65_24019_24010,Set65_24022_24013,Set65_24024_24015,Set65_25733_25718,Set65_25734_25719,Set65_25735_25720,Set65_25736_25721,Set65_25737_25722,Set65_25738_25723,Set65_25739_25724,Set65_25741_25726,Set65_25742_25727,Set65_25743_25728,Set65_25744_25729,Set65_25746_25731,Set65_26327_26321,Set65_26328_26322,Set65_26329_26323,Set65_26330_26324,Set65_26331_26325,Set65_26332_26326,Set65_26340_26336,Set65_26341_26337,Set65_26342_26338,Set65_26343_26339,Set65_26490_26484,Set65_26491_26485,Set65_26493_26487,Set65_26495_26489,Set65_34086_34071,Set65_34088_34072,Set65_34092_34074,Set65_34098_34077,Set65_34100_34078,Set65_34102_34079,Set65_34106_34081,Set65_34108_34082,Set65_34110_34083,Set65_34705_34696,Set65_34711_34699,Set65_34715_34701,Set65_34717_34702,Set65_35449_35438,Set65_35455_35441,Set65_35457_35442,Set65_35459_35443,Set65_35461_35444,Set65_35463_35445,Set65_35465_35446,Set65_35467_35447,Set65_35469_35448
218009_s_at,brown,43.38490022,37.92349836,5.461401859,PRC1,9055,0.00247,2.41,1.32,4.41,0.307,0.0316,1.32,0.793,2.19,0.259,88.539,522.772,400.382,99.3634,222.34,110.449,366.355,240.644,338.571,232.457,364.731,807.59,1543.05,225.777,55.4998,891.739,85.9054,529.558,420.164,434.286,415.234,167.917,149.39,422.83,208.651,274.289,260.059,129.558,739.084,372.561,835.461,225.855,336.086,495.505,97.6545,487.125,319.805,142.782,407.184,127.928,614.779,406.728,146.186,331.987,926.74,423.066,199.253,466.007,116.451,235.222,190.875,369.943,145.659,430.64,237.235,179.856,311.223,195.918,270.146,464.263,358.9,214.286,73.2917,138.512,459.288,205.298,85.2585,85.0688,329.507,1103.87,86.6594,286.684,85.2086,55.0785,190.115,156.531,78.1015,50.3141,542.597,1108.06,310.809,54.3704,651.406,75.0246,395.863,143.548,303.372,985.798,105.449,274.085,520.382,199.152,152.574,244.612,554.616,184.018,446.52,431.152,326.809,331.689,55.9592,232.052,622.166,264.548,272.893,365.438,120.447,346.47,341.838,506.506,34.6997,193.131,389.778,837.413,171.41,57.0529,174.743,452.92,223.265,480.196
218012_at,turquoise,105.0832561,92.2758474,12.8074087,SE20-4,64061,0.724,1.23,0.703,2.15,0.285,0.547,0.836,0.503,1.39,0.259,1727.95,487.439,449.761,954.937,758.227,1728.27,1012.91,558.246,575.847,580.237,703.12,695.084,609.745,802.826,961.552,308.836,1088.09,460.427,491.408,449.257,514.605,722.388,364.761,528.221,924.309,388.633,329.636,451.05,417.819,986.061,767.916,546.295,789.539,359.367,734.69,245.905,341.769,1486.69,472.219,1247.58,1054.64,306.614,2217.6,432.249,487.293,434.448,1335.71,307.996,397.056,363.373,1262.27,211.803,441.928,500.671,577.488,484.284,275.2,417.024,463.123,309.515,127.646,377.166,2141.31,721.843,690.495,474.559,542.085,2242.81,355.854,74.2649,1813.28,216.913,250.397,2344.29,607.481,200.18,843.083,1670.07,520.143,455.696,291.098,1625.54,328.263,2399.35,445.956,951.169,503.833,401.287,1325.52,543.146,1530.57,747.281,1308.82,957.171,544.813,751.519,277.496,688.442,352.445,1759.6,866.621,563.776,715.401,376.37,353.498,418.616,1136.75,333.847,442.973,288.511,257.17,1162.44,313.159,215.009,553.845,456.587,458.636,784.361,675.338,559.401
218013_x_at,grey,30.50786869,10.7578389,19.7500298,DCTN4,51164,0.394,0.859,0.488,1.51,0.289,0.264,0.831,0.498,1.39,0.261,193.845,355.762,286.795,253.565,321.038,219.218,198.883,154.161,256.343,455.422,308.456,329.522,544.524,489.046,308.961,397.006,365.864,384.346,348.059,368.554,376.254,369.179,309.211,290.688,327.15,421.83,489.936,198.728,505.776,379.766,392.221,442.043,103.141,372.27,337.086,395.533,147.737,367.641,166.961,115.517,135.547,343.584,58.8358,361.848,336.114,359.064,388.289,398.102,377.816,513.862,534.85,560.413,426.523,315.848,273.43,257.623,398.658,323.726,453.488,420.552,240.251,464.339,231.107,414.793,436.047,348.038,385.34,187.587,146.132,292.944,291.46,257.605,321.148,171.53,332.827,241.546,422.947,326.262,243.198,369.273,383.271,365.797,256.444,277.054,335.568,488.101,395.592,732.577,187.954,249.649,214.704,227.22,476.939,586.885,332.976,355.097,472.774,263.371,582.718,426.988,191.458,355.788,405.609,498.363,360.516,483.204,337.513,433.759,438.633,285.307,314.047,344.468,330.755,483.409,270.621,374.674,339.904,459.897,305.537,281.19
218014_at,brown,46.98011823,17.73252655,29.24759167,PCNT1,79902,0.83,0.943,0.539,1.65,0.285,0.109,1.67,0.998,2.78,0.262,192.115,385.111,240.276,249.461,292.534,140.703,174.194,306.918,220.754,280.362,150.227,456.798,390.63,253.171,145.426,339.797,159.077,364.622,328.656,370.225,344.507,220.494,250.259,376.15,198.237,321.528,261.704,254.94,372.117,248.041,299.094,278.804,175.523,273.067,157.261,308.401,336.883,175.022,344.809,166.078,296.9,275.429,206.347,330.053,543.785,330.383,354.153,314.281,177.352,273.13,188.058,368.629,281.096,432.186,343.993,359.691,317.721,340.318,232.417,366.211,356.875,221.148,131.086,278.998,430.671,240.415,263.392,168.199,273.417,338.779,165.197,249.435,248.968,146.952,264.047,266.027,217.118,131.735,457.54,253.554,307.661,160.678,390.839,121.333,281.635,240.164,297.127,361.228,194.593,241.054,219.002,267.248,203.147,212.54,341.955,270.977,386.097,286.747,362.469,677.167,214.397,336.741,450.121,273.098,329.018,245.448,167.337,1526.92,230.75,480.542,309.283,191.289,410.148,414.602,333.972,424.211,331.147,407.977,352.791,269.769
218016_s_at,grey,10.89774308,5.307111536,5.590631544,POLR3E,55718,0.264,0.559,0.319,0.98,0.286,0.485,0.9,0.541,1.5,0.26,183.51,162.213,307.433,226.676,347.245,275.375,249.373,316.839,357.412,318.094,361.896,313.041,387.429,283.268,182.24,298.377,219.352,290.078,180.939,374.049,262.411,345.152,258.171,297.367,240.861,290.12,342.987,287.487,383.445,165.008,226.176,289.692,196.112,201.113,215.63,243.965,365.753,231.651,353.968,182.281,342.585,329.278,246.759,292.744,452.786,363.287,318.861,290.566,273.814,310.366,295.691,341.287,282.071,374.319,339.183,223.351,288.459,294.801,240.705,214.874,225.365,116.14,176.493,189.77,245.439,236.417,295.875,157.498,136.962,182.934,188.184,316.015,167.352,205.058,277.463,295.344,265.461,218.183,200.189,313.628,307.731,212.027,315.129,182.687,395.484,327.019,261.68,299.703,213.649,248.442,219.584,256.088,335.442,344.072,78.2814,256.4,153.708,255.673,286.409,259.669,207.544,282.729,257.39,304.578,337.279,182.538,192.414,381.493,210.308,200.758,282.283,254.381,448.208,335.733,288.877,405.75,387.727,389.961,268.048,244.284
218017_s_at,blue,40.64349276,21.03868424,19.60480851,FLJ32731,138050,0.138,1.1,0.628,1.91,0.284,0.048,0.782,0.471,1.3,0.259,247.739,557.214,355.318,510.257,502.351,289.533,234.163,292.912,403.418,443.829,282.461,341.98,444.774,393.249,280.574,216.163,322.908,323.469,896.193,347.685,536.598,292.705,281.875,586.671,289.354,271.55,323.842,658.735,372.964,410.002,224.808,495.346,229.188,252.877,336.071,426.814,546.533,303.752,271.727,291.187,352.107,337.906,266.341,354.199,238.939,361.807,368.26,272.437,300.192,350.357,188.922,286.991,358.639,317.37,488.201,195.05,396.958,363.685,378.137,555.25,152.179,396.662,247.655,337.45,372.044,353.869,625.178,396.916,646.647,437.208,351.168,543.321,410.914,353.759,384.221,325.214,211.041,248.18,207.459,98.7154,690.005,308.666,498.075,364.101,323.455,230.357,525.562,197.703,320.103,249.707,237.025,408.824,396.277,312.826,303.668,311.28,229.362,314.93,352.788,315.934,241.175,507.95,364.621,323.009,482.697,391.3,258.27,466.414,569.669,560.891,511.881,259.609,376.092,320.492,478.926,327.349,579.447,390.171,449.398,186.501
218018_at,grey,25.60110402,8.495343506,17.10576052,PDXK,8566,0.643,1.24,0.711,2.16,0.284,0.267,1.53,0.894,2.61,0.274,603.107,552.401,426.003,575.673,476.167,451.184,379.319,372.526,630.866,378.969,349.211,301.596,172.55,573.378,533.646,262.568,574.889,296.346,463.676,496.442,417.835,473.897,366.756,445.798,520.743,434.465,531.078,488.736,453.146,476.384,444.934,599.228,880.068,542.164,401.737,423.237,796.791,499.621,587.538,822.901,747.226,456.081,641.31,465.344,210.83,479.709,360.851,363.454,398.778,652.742,273.664,520.099,536.419,340.156,504.28,790.03,419.363,569.911,532.923,311.385,731.418,491.393,477.47,542.483,536.017,310.035,534.556,632.505,246.869,316.664,479.97,823.257,463.11,407.035,454.574,569.645,234.991,300.96,215.502,364.409,314.437,325.194,250.939,603.336,487.125,364.244,535.145,472.258,426.599,878.729,450.658,643.584,498.111,391.448,383.403,459.795,397.947,558.922,381.627,427.483,328.27,385.752,479.349,381.774,418.407,534.231,598.006,474.572,452.244,624.61,483.514,447.008,532.165,357.059,509.902,625.17,501.859,393.663,566.074,408.443
218019_s_at,turquoise,92.92886709,84.55417449,8.374692603,C21orf97,60683,0.179,1.28,0.73,2.23,0.285,0.217,0.683,0.407,1.15,0.264,1544.54,776.303,767.555,1458.21,1088.41,1525.54,1467.25,772.162,1069.88,894.48,866.455,540.004,616.873,1157.65,1326.35,524.376,1283.18,534.897,707.258,1024.23,980.351,1554,710.818,774.849,1089.14,823.954,1025.75,815.786,699.245,1184.32,1065.64,1429.19,1427.26,658.399,1059.28,553.358,848.676,1390.94,975.988,1736.37,1610.29,947.052,2257.74,1004.91,538.127,768.056,977.687,1030.84,668.675,1063.31,459.149,873.521,923.793,595.677,786.162,938.181,560.047,879.18,822.929,564.393,1341.8,679.514,1342.53,693.367,1023.73,712.219,657.542,2008.91,754.982,513.214,2023.04,711.048,809.006,2189.43,970.972,911.745,692.274,1261.75,458.901,482.388,625.478,935.054,428.224,1799.99,1106.65,685.429,916.844,564.282,1610.56,1188.74,889.97,1025.79,811.838,989.526,584.22,513.799,710.917,993.249,1227.41,854.874,1892.06,750.334,819.658,1066.07,622.177,1350.03,996.953,956.084,1283.73,926.792,1225.18,1738.32,939.315,775.509,943.073,995.666,788.842,1237.19,1108.31,1053.91
218030_at,turquoise,88.34879518,67.20355435,21.14524083,GIT1,28964,0.305,1.91,1.08,3.36,0.288,0.559,0.78,0.466,1.31,0.263,1234.12,628.295,1058.63,801.777,874.748,1439.69,1307.03,807.045,830.688,683.72,859.483,498.973,893.997,852.59,856.167,650.142,840.889,582.722,353.535,625.272,783.155,743.898,414.636,520.037,768.163,337.586,562.724,581.345,689.004,768.325,869.304,528.59,1239.54,384.527,788.573,431.135,612.792,816.166,765.667,1275.33,987.411,636.623,1440.22,549.518,1417.46,586.08,587.027,758.739,567.588,412.649,728.889,459.454,462.44,785.568,482.634,920.78,911.715,778.464,696.173,710.195,1112.47,456.319,726.636,531.102,674.47,440.372,342.601,1385.61,844.224,720.969,1833.51,576.757,714.356,1350.42,861.69,874.963,773.67,1326.22,555.776,656.959,741.386,1206.12,897.505,1928.02,794.652,1674.3,827.214,638.209,1105.81,474.645,1260.58,773.442,954.693,855.386,570.608,707.49,434.839,450.011,748.85,840.886,781.03,539.216,570.785,752.07,689.022,647.754,734.78,552.497,628.643,383.287,680.8,779.761,662.719,615.143,539.772,595.528,471.715,488.01,504.058,820.202
218032_at,grey,26.45941085,8.437934085,18.02147676,SNN,8303,0.83,1.2,0.689,2.1,0.285,0.548,0.938,0.564,1.56,0.26,1684.11,1623.77,2903.39,1574.69,1794.08,2831.72,1850,1382.25,2939.23,2014.41,1687.67,1805,1990.68,1665.36,1359.11,1699.11,3006.5,819.321,585.867,1593.36,1834.25,3877.8,1166.6,707.063,2131.3,1806.73,2436.65,813.062,1804.28,2013.05,2196.9,735.755,2155.96,1428.92,2452.73,885.842,1010.91,2121.4,2463.85,3283.78,2295.29,2142.49,2678.06,2195.15,2095.49,1633.1,1483.12,1734.19,2757.34,2006.43,1199.78,2260.15,1364.56,1269.39,1422.74,1886.19,1106.63,1005.66,845.497,1503.72,1892.43,2429.2,2047.71,726.631,1499.8,718.684,1017.12,2537,1609.47,1938.27,2381.04,943.229,3148.21,3506.89,2251.67,1400.85,2127.06,2862.6,1926.39,2370.61,805.7,2311.91,1436.36,3386.16,1160.78,951.644,2492.82,1479.4,2605.76,425.064,2312.86,1025.71,1361.12,1186.75,1278.93,584.009,1547.37,1889.7,3068.66,1810.97,2046.22,1183.1,1157.65,1644.78,909.656,2076.99,703.168,951.489,1044.64,657.205,1961.15,2045.28,1398.76,2184.18,1570.21,1123.82,1132.59,1540.57,757.233,1549.08
218035_s_at,blue,134.0822955,94.55032965,39.53196589,FLJ20273,54502,0.906,0.728,0.416,1.27,0.285,0.913,1.22,0.736,2.02,0.258,109.504,297.16,204.094,506.509,431.948,102.562,91.1799,219.23,322.474,150.135,121.809,64.0311,39.6288,284.871,131.542,100.713,128.738,274.784,374.545,150.739,275.097,100.514,377.328,403.777,131.56,530.444,128.903,651.596,183.219,309.748,83.3097,620.294,106.214,253.834,190.202,361.23,384.219,77.4772,188.387,100.712,74.4485,180.546,99.9107,169.377,58.6686,185.193,303.39,247.433,203.679,204.424,68.9946,187.409,529.65,195.98,293.737,127.01,244.286,354.681,466.599,145.203,116.172,294.588,47.5967,521.726,125.21,293.277,692.298,59.1535,310.398,98.7627,80.1083,289.238,330.843,101.959,153.412,230.961,78.197,49.8411,106.278,37.2579,177.265,75.2896,133.406,72.7888,118.162,41.8329,237.137,61.5959,161.598,378.608,41.6776,310.353,94.0137,59.0326,51.8393,101.5,87.0016,197.993,214.728,72.3977,226.604,609.381,349.84,172.802,279.372,129.562,143.803,328.105,119.074,253.258,829.494,69.9968,183.65,64.3705,307.434,611.411,479.833,297.058,437.403,66.3224
218037_at,turquoise,66.18212367,51.87835163,14.30377204,C2orf17,79137,0.577,0.703,0.397,1.24,0.291,0.503,0.979,0.59,1.62,0.258,950.506,681.593,569.104,585.207,579.606,972.702,548.185,789.68,497.674,679.435,619.845,681.593,1225.77,841.994,1009.8,516.169,1038.71,653.464,710.992,807.11,645.138,867.302,601.366,639.972,811.004,686.963,832.767,449.715,723.568,897.823,715.11,441.122,1049.75,573.69,907.14,605.4,832.414,846.322,793.475,1361.85,1224.8,602.359,1437.56,818.835,1112.3,692.645,838.926,866.204,740.997,909.641,980.932,626.155,715.316,817.031,730.624,1040.14,529.474,967.657,606.118,456.609,933.395,864.6,859.759,682.881,653.409,610.822,496.625,1278.27,303.549,593.386,1043.27,530.65,581.691,1088.89,653.323,587.591,799.153,913.483,443.448,571.3,462.089,597.683,613.996,983.809,495.599,674.597,769.093,482.536,999.785,582.382,537.306,658.82,868.619,855.845,667.309,548.38,442.334,683.477,877.346,1022.92,603.826,811.463,631.306,626.81,782.59,773.543,830.198,718.883,895.199,725.879,492.319,592.311,679.714,873.882,761.376,894.814,542.196,808.895,516.519,585.795
218039_at,brown,43.83728458,35.18112827,8.656156311,NUSAP1,51203,0.0188,1.84,1.04,3.27,0.293,0.00344,1.78,1.06,2.99,0.264,73.363,836.597,665.355,93.0006,406.747,98.7231,565.695,358.735,556.474,286.125,681.015,1038.82,1241.28,463.625,68.4727,2181.72,127.821,955.849,710.375,914.988,946.298,375.208,199.934,889.453,492.877,598.295,293.64,155.161,1085.36,539.066,1489.38,403.932,498.365,691.461,137.368,743.741,447.917,265.611,700.839,117.354,875.864,711.555,81.688,748.9,1414.22,816.011,323.114,667.138,256.492,418.001,318.809,761.683,210.801,877.288,339.365,500.412,646.522,329.332,449.812,820.76,451.943,324.509,62.6361,124.388,790.876,354.634,228.421,54.8898,826.416,1421.28,56.1706,585.437,180.217,55.0479,471.337,367.547,133.719,73.844,1043.07,1577.88,287.874,94.5163,1132.92,33.0115,875.368,412.023,513.905,1238.9,138.585,374.408,824.12,252.432,192.852,282.316,749.983,319.765,724.755,704.134,325.434,448.037,187.416,280.226,807.591,439.29,327.244,564.937,198.344,317.613,282.227,678.203,70.1769,330.069,447.259,662.869,218.094,51.0655,260.388,678.189,208.225,632.993
218042_at,turquoise,30.42095144,23.22205606,7.198895377,COPS4,51138,0.506,1.13,0.648,1.97,0.284,0.793,0.818,0.486,1.38,0.266,622.05,577.443,491.704,489.731,659.6,642.52,456.83,474.129,668.873,375.693,464.407,505.233,638.408,605.776,580.302,567.566,605.069,411.172,535.015,636.97,516.035,571.968,329.053,502.049,615.685,663.406,517.504,461.562,630.14,442.717,543.329,393.373,689.192,691.075,657.986,599.531,809.582,634.81,817.704,1002.92,904.253,535.333,902.924,646.161,411.02,595.295,531.216,502.685,579.902,639.289,372.345,546.522,567.714,695.37,587.284,1087.2,639.8,435.999,460.772,531.718,546.658,457.307,593.927,324.622,510.671,407.321,490.525,580.334,117.899,355.3,538.69,525.829,505.317,579.314,656.515,499.7,578.554,504.22,235.101,727.27,592.14,383.436,540.529,757.14,572.363,236.028,616.26,215.24,518.624,284.052,398.56,546.878,221.631,391.681,415.363,242.013,392.017,614.265,519.604,373.576,323.405,393.196,457.632,418.119,431.416,579.616,518.732,509.034,637.998,468.069,424.655,405.713,598.92,616.313,503.176,525.881,612.339,492.901,377.992,353.24
218051_s_at,brown,21.73978726,11.46929659,10.27049067,FLJ12442,64943,0.00744,1.74,0.984,3.08,0.292,0.284,1.4,0.845,2.33,0.259,193.012,525.742,530.09,272.76,246.94,263.134,371.245,254.526,427.336,393.599,403.64,550.578,746.523,230.824,101.391,802.454,195.336,524.944,1213.16,688.583,349.357,528.685,347.405,385.227,312.286,561.064,560.671,489.787,678.973,291.923,1056.04,722.424,258.924,273.414,141.872,326.424,319.428,360.142,498.972,203.967,511.787,495.183,172.27,561.007,973.316,418.305,238.235,672.46,323.358,362.559,247.746,360.873,239.307,438.584,476.097,1090.79,539.971,371.957,221.829,577.887,583.616,207.524,182.227,223.428,767.253,504.22,265.616,205.473,193.525,691.215,163.606,378.037,324.262,134.202,674.091,171.656,715.2,230.122,655.322,515.186,298.306,126.816,328.17,97.8931,553.691,212.084,270.254,491.804,197.183,210.2,538.89,263.992,225.68,248.063,708.434,193.145,508.51,469.965,317.583,661.281,440.398,253.909,546.671,383.346,430.989,561.864,226.064,849.344,454.038,539.892,214.476,314.039,523.227,1339.29,472.948,200.826,334.413,557.606,608.952,398.86
218052_s_at,turquoise,25.62224451,18.52895619,7.093288317,ATP13A,57130,0.895,1.05,0.599,1.82,0.284,0.589,1.02,0.618,1.7,0.257,350.565,574.273,505.892,575.404,500.014,501.452,489.227,542.744,632.069,555.977,730.146,611.905,538.679,572.871,418.619,492.193,410.676,640.394,537.823,630.243,745.159,397.799,430.082,485.847,449.748,590.956,757.638,501.926,629.624,505.239,586.769,624.74,368.784,384.697,340.951,561.397,437.545,344.117,328.892,219.447,471.848,428.157,291.982,472.496,416.584,659.755,457.817,589.761,423.148,692.208,586.753,513.225,488.621,588.626,601.513,788.255,600.046,480.023,386.644,614.936,794.979,507.335,303.282,423.224,716.259,745.107,517.464,333.485,454.161,403.6,341.649,522.42,404.804,352.608,320.288,599.182,366.989,397.459,338.54,317.381,410.185,354.485,373.385,285.954,596.018,898.317,480.304,559.903,386.44,380.688,418.019,563.553,462.957,516.175,394.274,597.18,527.726,495.692,744.26,636.317,490.915,713.78,803.026,563.794,674.246,545.56,423.594,701.376,1120.53,849.759,611.385,458.913,713.038,592.966,515.837,562.06,537.752,650.646,535.021,410.865
218064_s_at,grey,20.48713215,7.334979576,13.15215258,AKAP8L,26993,0.367,0.503,0.283,0.893,0.293,0.415,0.973,0.588,1.61,0.257,236.603,350.896,249.759,258.408,397.814,252.945,316.916,360.507,262.622,473.467,386.23,479.298,444.169,403.316,270.761,368.693,319.03,408.012,267.916,565.718,571.758,362.388,312.404,360.763,303.211,325.347,509.331,257.303,500.6,295.416,345.232,283.632,156.201,215.035,175.238,233.093,178.635,235.085,177.991,116.605,210.912,286.446,263.883,348.738,266.222,279.578,406.951,483.874,368.406,376.213,368.747,381.02,317.659,502.202,320.468,326.103,366.784,238.108,154.321,292.484,285.344,212.658,198.418,258.601,402.949,310.827,245.397,282.993,411.032,240.531,252.184,169.693,155.851,216.377,194.899,352.911,266.596,237.922,254.6,382.516,310.348,206.044,330.921,179.447,576.209,325.537,227.859,359.006,172.698,195.313,185.317,319.166,231.613,343.485,208.693,457.32,275.475,288.325,337.982,338.601,290.994,340.946,390.351,307.754,435.557,370.948,263.26,427.893,355.492,339.297,195.598,297.133,433.301,270.493,222.427,293.055,232.22,437.764,427.598,271.102
218066_at,grey,68.47856033,26.62190068,41.85665966,SLC12A7,10723,0.537,1.05,0.598,1.84,0.286,0.114,1.58,0.936,2.65,0.266,248.99,727.43,399.279,834.998,707.596,316.794,278.132,737.239,771.703,298.74,214.936,294.621,289.679,557.088,382.308,206.797,322.224,468.21,472.08,349.629,684.64,237.105,587.017,693.471,428.809,840.91,568.66,1031.07,669.457,480.024,284.305,880.119,324.17,413.745,237.852,561.112,760.323,261.042,231.548,337.695,551.283,508.146,235.394,353.84,511.743,577.935,286.134,575.792,249.701,577.059,104.732,734.462,752.948,250.064,701.493,647.045,454.094,602.458,643.478,329.88,360.339,665.819,154.305,698.702,756.544,428.052,578.892,297.113,1168.3,312.979,280.534,778.702,558.594,270.865,465.858,788.63,486.883,165.439,102.155,301.052,184.405,73.9003,205.368,311.054,553.725,261.993,727.643,278.007,428.955,665.639,718.005,941.728,281.348,322.5,528.434,227.977,220.047,611.152,249.155,216.257,402.384,573.54,644.521,426.69,582.641,392.024,359.117,544.659,575.987,643.77,651.889,421.339,597.376,439.278,570.482,805.713,764.153,532.091,1009.71,277.314
218071_s_at,turquoise,57.65228338,42.78754486,14.86473852,MKRN2,23609,0.184,1.49,0.84,2.63,0.292,0.655,1.17,0.709,1.94,0.257,314.507,437.682,352.946,381.933,365.346,483.018,303.316,298.956,392.077,340.023,348.637,325.271,284.849,374.932,256.994,299.218,326.739,184.135,326.669,308.028,223.188,343.226,267.563,223.498,269.462,249.209,257.62,288.52,353.178,354.954,415.885,211.052,604.893,293.087,313.583,301.414,364.086,306.919,542.049,736.407,499.485,344.155,460.437,281.444,283.536,342.107,309.902,284.945,303.885,277.44,316.358,191.892,317.357,265.617,324.533,183.502,330.701,338.218,270.143,340.116,169.58,379.512,304.133,190.204,298.429,297.507,361.45,397.3,245.927,264.006,369.594,299.871,444.411,388.057,292.183,286.63,318.219,384.209,245.136,323.105,378.303,248.497,187.22,638.677,429.628,281.441,340.692,325.85,381.296,196.791,372.419,440.515,390.398,357.154,291.125,290.575,238.668,328.318,410.044,412.109,402.259,248.852,284.714,365.827,329.873,272.472,258.92,265.421,180.183,369.237,325.154,277.876,344.889,351.854,308.39,351.037,331.677,302.972,310.573,241.835
218079_s_at,turquoise,24.64800159,21.5070966,3.140904997,ZNF403,79893,0.358,1.05,0.598,1.83,0.285,0.505,1.71,1,2.91,0.272,616.373,644.273,551.301,623.584,736.3,736.83,502.393,483.463,700.913,534.394,592.343,350.552,752.046,652.789,565.039,601.678,612.812,632.176,516.196,602.118,652.039,522.004,484.628,781.258,592.02,505.695,556.79,533.847,559.883,510.794,622.256,490.855,724.379,547.177,722.523,553.192,634.463,691.141,637.018,865.793,768.925,541.846,923.73,681.685,615.816,616.624,712.106,560.389,518.22,379.645,585.176,417.829,562.117,696.889,489.61,351.369,489.495,632.615,627.728,481.097,289.591,450.894,592.42,545.723,662.974,542.587,650.196,813.579,564.803,459.376,847.111,405.619,429.13,600.904,485.063,664.693,453.021,497.61,461.353,355.573,588.6,546.92,574.271,655.267,547.388,485.5,610.473,358.614,670.838,495.131,559.386,813.628,523.092,489.077,476.39,599.425,695.356,635.935,526.354,532.014,427.436,538.748,478.536,579.687,601.93,398.593,492.438,617.123,405.165,571.761,556.309,554.442,667.4,465.42,567.739,657.236,662.309,579.613,457.259,489.486
218084_x_at,blue,36.83675577,18.2577782,18.57897756,FXYD5,53827,0.0893,0.993,0.57,1.73,0.283,0.656,1.15,0.697,1.91,0.258,420.509,428.532,626.631,1363.38,725.51,180.452,319.88,275.609,507.711,344.332,363.458,406.668,254.477,517.215,580.574,301.015,313.326,340.985,1107.57,434.249,668.267,290.707,1660.87,569.724,914.091,691.553,505.281,1718.77,444.428,1711.98,355.345,1671.06,426.954,1770.31,613.056,923.487,898.762,340.175,340.265,287.17,319.236,685.533,217.814,412.866,306.364,1790.4,522.804,511.874,526.406,583.166,202.86,332.897,567.005,298.171,838.357,477.314,590.873,455.444,553.516,266.826,377.373,655.398,225.242,892.014,542.752,426.96,2892.45,224.497,277.976,146.031,219.379,814.975,570.519,261.92,281.296,500.807,531.638,133.365,331.743,299.008,115.322,128.548,210.698,120.296,439.223,141.237,704.347,179.598,998.437,457.37,168.989,328.296,304.257,173.49,163.863,366.435,317.504,526.7,542.679,375.172,471.433,3007.82,726.532,410.796,330.707,404.004,511.428,393.736,876.047,947.271,1251.52,1054.53,602.453,289.918,880.432,356.993,917.288,408.879,817.929,206.727
